50,51,57,54,58,53,56
50,57,52,53,51,55,54
58,53,59,57,54,52,50
57,59,55,51,54,56,58
56,55,58,54,53,52,57
52,54,51,50,55,59,56
57,53,59,56,58,54,52
59,52,54,58,51,57,56
72,66,89,63,77,75,55
83,57,67,90,62,50,63
68,60,64,61,66,62,63
66,65,61,60,62,63,64
63,66,68,64,61,62,65
69,60,63,64,65,68,62
65,69,67,62,63,68,60
65,63,62,66,60,67,64
60,63,61,69,64,68,66
69,62,68,61,66,63,64
57,67,52,86,51,62,83
68,67,63,96,52,86,85
72,79,73,78,70,75,77
71,72,78,77,73,79,70
78,70,79,74,77,75,76
77,74,79,71,72,70,75
76,79,70,75,71,77,74
70,72,79,75,73,76,71
78,71,70,72,77,73,76
71,74,78,79,70,76,72
59,87,74,73,61,89,92
83,56,86,59,67,99,53
82,85,84,89,83,80,86
80,82,86,88,87,83,85
84,87,80,89,82,83,88
89,84,81,87,83,86,85
84,89,81,83,86,88,87
86,89,80,84,81,85,87
85,82,80,83,84,81,87
89,83,82,80,88,87,86
68,82,88,56,58,72,63
83,85,97,93,51,64,95
92,95,91,96,94,93,98
95,94,96,98,97,90,93
94,91,97,98,99,95,90
90,99,91,95,93,94,92
99,91,90,96,97,98,94
96,90,99,91,94,97,92
92,97,94,96,90,91,99
94,96,93,97,92,91,95
52,82,88,76,92,97,57
63,91,67,83,70,82,66
1,0,6,5,8,7,3
3,6,8,2,4,0,1
9,3,0,8,1,5,2
2,5,6,1,4,3,8
2,9,3,8,4,6,5
9,7,8,3,2,0,1
0,4,6,7,9,6,4
8,5,2,1,3,6,4
38,28,25,8,40,34,41
39,21,17,7,41,32,16
14,12,16,17,10,19,18
14,11,13,12,19,17,16
18,14,17,13,19,15,16
14,10,19,18,15,17,12
16,12,18,19,11,10,14
16,19,18,15,12,13,17
1,18,5,9,17,19,6
18,15,8,6,4,2,12
27,38,13,20,10,24,18
34,25,32,47,22,38,11
29,28,24,25,23,27,20
22,24,29,23,27,28,20
28,26,27,25,20,21,22
22,23,21,20,27,28,24
20,25,23,24,22,29,21
26,29,25,27,24,23,20
9,24,8,21,22,0,25
29,4,21,22,20,0,9
2,43,0,9,35,39,27
22,8,15,38,47,5,17
31,33,39,36,35,37,32
38,34,30,36,37,31,39
38,36,32,34,37,39,31
31,33,30,35,39,38,37
34,35,31,33,38,36,32
39,34,37,32,30,36,35
34,36,1,9,4,6,0
2,37,36,39,6,33,8
42,1,12,2,13,19,18
2,47,39,45,10,49,42
48,46,42,41,44,43,40
46,43,40,48,41,47,49
46,42,49,45,47,40,43
48,49,44,43,40,46,42
45,46,49,40,48,47,43
41,40,46,49,48,47,42
47,42,45,8,44,41,40
8,4,40,0,41,3,5
15,9,3,21,42,30,8
42,19,25,8,37,31,16
